cluster index	parent mass	RTMean	component	#Scan#	Compound_Name
84170	234.22155591961223	8.492579	-1		
96346	234.2215671567756	9.559935	-1		
87654	234.2215791762765	8.790321	8751		
89377	234.22158446134043	8.978838	-1		
91623	234.22158559640937	9.182594	-1		
45477	234.65691398169253	5.1440926	1672		
39903	234.65695979414195	4.6991973	1672		
95841	234.6661761042565	9.516258	2248		
4997	234.826181567888	0.8926468	839		
737	234.8262037837192	0.6047843	839		
2474	234.8262188442052	0.65473294	839		
3169	234.94689383040912	0.74323946	48		
2518	234.960755601996	0.6910888	15	2518.0	1955548-88-5
214	234.96110870904565	0.5481145	-1		
4794	234.9614147766357	0.87633204	2382		
4185	235.01877244765447	0.85466087	2382		
79955	235.02119465654133	7.986708	-1		
11393	235.02629485826483	1.8219932	6529		
14159	235.0581370487376	2.3355856	-1		
24394	235.0598673279438	3.4767268	-1		
27033	235.0598506659548	3.702693	64		
19852	235.05997159489016	3.0826244	-1	19852.0	Homocysteine thiolactone_Oxaloacetic acid (known isomers: 0; isobaric peaks in run: 0)
30239	235.05999041557848	3.967888	-1		
44809	235.0600621516369	5.080523	4736		
36925	235.06006702535856	4.47413	-1		
42082	235.0600832360951	4.8706803	-1	42082.0	4-(3,4-dimethylphenyl)oxane-4-carboxylic acid
10085	235.0712230372043	1.6147852	4145	10085.0	2-[1-(4-fluorophenyl)-5-oxo-2,5-dihydro-1H-pyrazol-3-yl]acetic acid
10640	235.07124759193687	1.6662526	4145		
20938	235.074670464761	3.2078292	358		
81427	235.0865903605893	8.139188	-1		
29654	235.09592954660536	3.9663293	-1		
31852	235.0961063299221	4.0663605	-1		
57774	235.09624103164663	6.067248	6543		
54079	235.0962654279509	5.717286	-1		
51562	235.0962970004112	5.5805626	-1		
41549	235.09632704027524	4.814654	-1		
37170	235.0963276353622	4.4910197	-1		
47954	235.0963548829256	5.304738	-1		
49888	235.0963566364576	5.441662	-1		
44156	235.0963779891409	5.0445595	5241		
46289	235.0963831319933	5.1914673	-1		
62314	235.09638646334747	6.3680673	2544		
65452	235.0963931907306	6.5814576	-1		
73093	235.09640533058703	7.2374835	7449		
94081	235.09641165107104	9.374592	3416		
93208	235.0964158989084	9.302711	3098		
66480	235.0964164852764	6.6828547	-1	66480.0	Massbank:LU127602 Todralazine|ethyl N-(phthalazin-1-ylamino)carbamate
71680	235.0964231645188	7.0886345	7310	71680.0	MoNA:2463375 Uralenic Acid
81487	235.09646054989	8.11692	-1		
11112	235.10763924403687	1.7725394	2885		
16431	235.10764305194144	2.7097437	-1		
31678	235.10764487594108	4.045393	-1		
12259	235.10764592664592	1.9675791	2885		
11445	235.1076464265376	1.8308021	2885		
14552	235.10766466398567	2.384928	-1		
10542	235.10766658469228	1.7056115	2885		
18527	235.10767136006743	2.913611	52		
8087	235.1076887937095	1.2020125	542		
56105	235.10769954069	5.906519	15		
25588	235.1170765020468	3.593969	16		
14213	235.1174229320885	2.3163595	1904		
15756	235.11744268407216	2.560733	1904		
3900	235.1188630845688	0.8309798	8899	3900.0	Cyclo(his-pro)
67754	235.1319070964276	6.8093457	-1		
68454	235.13199448636303	6.8699565	2822		
67117	235.1320664029869	6.750938	-1		
85243	235.1326258967371	8.59321	-1		
71768	235.13263185019136	7.086	-1	71768.0	MoNA:2463375 Uralenic Acid
70203	235.13265068511672	6.963627	-1		
86007	235.1326925102537	8.672362	-1		
82426	235.1327354947232	8.282412	-1		
115194	235.1327421527461	10.670043	15		
80578	235.13274416160417	8.060169	2822	80578.0	Deoxyphomalone
141027	235.13274470547924	11.887583	217		
76847	235.13274984184267	7.6213393	-1		
78503	235.13275917721484	7.8038526	9909		
54616	235.1327649473168	5.759346	-1		
